KEY,NAME,LOC,QTY,QYOT,SELL,DEP,DMG,Msg,SDATE,Category,TYPE,TaxCode,INST,FUEL,ADDT,PER1,PER2,PER3,PER4,PER5,PER6,PER7,PER8,PER9,PER10,RATE1,RATE2,RATE3,RATE4,RATE5,RATE6,RATE7,RATE8,RATE9,RATE10,RCOD,SUBR,PartNumber,NUM,MANF,MODN,DSTN,DSTP,RMIN,RMAX,UserDefined1,UserDefined2,MTOT,MTIN,CALL,RESB,RESD,QUEB,QUED,SSN,CUSN,CNTR,PURD,PURP,DEPM,DEPR,SLVG,DEPA,DEPP,CURV,SOLD,SAMT,INC1,INC2,INC3,REPC1,REPC2,TMOT1,TMOT2,TMOT3,HROT1,HROT2,HROT3,LDATE,LOOKUP,Asset,GLAccount,DeprecAccount,HomeStore,CurrentStore,Group,Location,SerialNumber,Nontaxable,Header,License,CaseQty,ItemPercentage,ModelYear,RetailPrice,ExtraDepreciation,Inactive,ExtraCharges,PriceLevelA,PriceLevelB,PriceLevelC,NonDiscountable,VendorNumber1,VendorNumber2,VendorNumber3,QuantityOnOrder,Sort,NoPrintOnContract,MarkupPercentage,OrderNumber1,OrderNumber2,OrderNumber3,CleaningDelay,RequireCleaning,MaintenanceFile,WebLink,SubrentCostMTD,SubrentCostYTD,SubrentPending,HideOnWebsite,GPSUnitNo,LicenseExpire,ReplacementCost,RequireCreditCard,WarrantyDate,VehicleType,VehicleEIN,DescriptionLong,Weight,SetupTime,WebGroup,Department,GLIncome,BulkItem,GVWR,CriticalLevel,RentalCase,BoughtUsed,IncomeDmgWvr,IncomeItemPercent,QtyCountDifference,SuppressAvailCheck,FuelTankSize,NoTransfers,CommissionLevel,Barcode,Style1,Style2,Style3,DesiredROI,CubicSize,BulkSerializedMethod,Nonfulfillable,RateEngineId,BaseRate,RateEngineIdDisplayed,AccountingDepartmentId,AccountingClassId,ItemManufacturerId
2540#37,KM131 SPLIT SHAFT POWER HEAD,,1,0,425,0,10,0,,90,T,0,                         ,,,4,24,0,0,0,0,0,0,0,0,28,34,0,0,0,0,0,0,0,0,2,0,2540-37,20985,STIHL,KM 131 R                      ,,,0,0,,     2540-01,0,0,0,True,False,True,False,9754,6807,100305,1/13/2018 12:00 AM,369.56,,0,0,0,0,369.56,,0,0,0,417,0,0,0,0,18,0,0,1065,10/4/2018 12:00 AM,,False,,,1,1,,,513885524,False,KMSSPH,,0,0,,0,0,False,0,0,0,0,False,0,0,0,0,,False,0,,,,0,False,,,0,0,0,False,,,0,False,,,,,0,0,,0,0,False,0,0,0,False,0,0,0,False,0,False,0,,,,,0,0,0,0,2,0,0,,,
2540#38,KM131 POWER UNIT,,1,0,425,0,10,0,,90,T,0,                         ,,,4,24,0,0,0,0,0,0,0,0,28,34,0,0,0,0,0,0,0,0,2,0,KMSSPH,20994,STIHL,KM 131 R                      ,,,0,0,,     2540-01,0,0,1,True,False,True,False,8207,8207,101582,1/13/2018 12:00 AM,369.56,,0,0,0,0,369.56,,0,0,10,361.51,0,0,0,1,19,0,3,855,12/17/2018 12:00 AM,,False,,,1,1,,,513885534,False,KMSSPH,,0,0,,0,0,False,0,0,0,0,False,0,0,0,0,,False,0,,,,0,False,,,0,0,0,False,,,0,False,,,,,0,0,,0,0,False,0,0,0,False,0,0,0,False,0,False,0,,,,,0,0,0,0,2,0,0,,,
2540#39,KM56 POWER HEAD ONLY,,1,0,0,0,10,0,,90,T,0,                         ,,,4,24,0,0,0,0,0,0,0,0,28,34,0,0,0,0,0,0,0,0,2,0,2540-39,21037,STIHL,KM 56 RC-E                    ,,,0,0,,     2540-01,0,0,0,True,False,True,False,8652,8652,101038,6/22/2016 12:00 AM,200.16,,0,0,0,0,200.16,,0,0,0,235,0,0,0,0,16,0,0,284,11/12/2018 12:00 AM,,False,,,1,1,,,506564925,False,KMSSPH,,0,0,,0,0,False,0,0,0,0,False,0,0,0,0,,False,0,,,,0,False,,,0,0,0,False,,,0,False,,,,,0,0,,0,0,False,0,0,0,False,0,0,0,False,0,False,0,,,,,0,0,0,0,2,0,0,,,
KMSSPH,DO NOT USE - KM POWER HEAD HEADER ITEM,,3,0,0,0,10,0,,90,V,0,                         ,,,4,24,0,0,0,0,0,0,0,0,28,34,0,0,0,0,0,0,0,0,2,0,KMSSPH,11136,,                              ,,,0,0,,     2540-01,0,0,0,True,False,True,False,8652,8652,101038,,0,,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,11/12/2018 12:00 AM,,False,,,1,1,,,,False,KMSSPH,,0,0,,0,0,False,0,0,0,0,False,0,0,0,0,,False,0,,,,0,False,,,0,0,0,False,,,0,False,,,,,0,0,,0,0,False,0,0,0,False,0,0,0,False,0,False,0,,,,,0,0,0,0,2,0,0,,,
KRAFTER#12,12x20 DIAMOND BLADE TWCF12SBA,,0,0,0,0,10,0,,11,U,0,                         ,,,24,168,0,0,0,0,0,0,3,0,25,100,0,0,0,0,0,0,-9.99,0,0,0,TWCF12-SB-A,1391,KRAFTER,TWC12-SB-A                    ,,,0,0,,  KRAFTER-12,0,0,0,True,False,True,False,,,,11/15/2004 12:00 AM,82,,0,0,0,0,0,2/24/2009 12:00 AM,0,0,0,320,0,0,0,0,14,0,0,376,2/24/2009 12:00 AM,,False,,,1,1,113,,,False,KRAFTER,,0,0,,0,0,True,0,0,0,0,False,158,0,0,0,,False,0,,,,0,False,,,0,0,0,False,,,0,False,,,,,0,0,,0,0,False,0,0,0,False,0,0,0,False,0,False,0,,,,,0,0,0,0,0,0,0,,,
KRAFTER#14,14x20 DIAMOND BLADE TWC14SVA,,0,0,0,0,10,0,,11,U,0,                         ,,,24,168,0,0,0,0,0,0,3,0,35,140,0,0,0,0,0,0,-9.99,0,0,0,TWC14-SV-A,1392,KRAFTER,TWC14-SV-A                    ,,,0,0,,  KRAFTER-14,0,0,0,True,False,True,False,,,,11/15/2004 12:00 AM,77,,0,0,0,0,0,2/24/2009 12:00 AM,0,0,0,1570.36,0,0,0,0,53,0,0,1586,2/24/2009 12:00 AM,,False,,,1,1,114,,,False,KRAFTER,,0,0,,0,0,True,0,0,0,0,False,158,0,0,0,,False,0,,,,0,False,,,0,0,0,False,,,0,False,,,,,0,0,,0,0,False,0,0,0,False,0,0,0,False,0,False,0,,,,,0,0,0,0,0,0,0,,,
KRAFTER,12x20 DIAMOND BLADE TWCF12SBA,,0,0,0,0,10,0,,11,V,0,                         ,,,24,168,0,0,0,0,0,0,3,0,25,100,0,0,0,0,0,0,-9.99,0,0,0,TWCF12-SB-A,11398,KRAFTER,TWC12-SB-A                    ,,,0,0,,  KRAFTER-12,0,0,0,True,False,True,False,,,,,0,,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,2/24/2009 12:00 AM,,False,,,1,1,113,,,False,KRAFTER,,0,0,,0,0,True,0,0,0,0,False,158,0,0,0,,False,0,,,,0,False,,,0,0,0,False,,,0,False,,,,,0,0,,0,0,False,0,0,0,False,0,0,0,False,0,False,0,,,,,0,0,0,0,0,0,0,,,
MK699#616,"12x1"" DIAMOND BLADE ASPH/GRN",,0,0,0,0,10,0,,11,U,0,                         ,,,9999,0,0,0,0,0,0,0,3,0,15,0,0,0,0,0,0,0,-9.99,0,0,0,MK699,1375,MK DIAMOND PRODU,MK699                         ,,,0,0,,       MK699,505.3,505.3,0,True,False,True,False,,,,7/10/2004 12:00 AM,265.5,,0,0,0,0,0,2/24/2009 12:00 AM,0,0,0,261.7,0,0,0,0,12,0,0,66,2/24/2009 12:00 AM,,False,,,1,1,120,,7070926,False,MK699,,0,0,,0,0,True,0,0,0,0,False,0,0,0,0,,False,0,,,,0,False,,,0,0,0,False,,,0,False,,,,,0,0,,0,0,False,0,0,0,False,0,0,0,False,0,False,0,,,,,0,0,0,0,0,0,0,,,
MK699,"12x1"" DIAMOND BLADE ASPH/GRN",,0,0,0,0,10,0,,11,V,0,                         ,,,9999,0,0,0,0,0,0,0,3,0,15,0,0,0,0,0,0,0,-9.99,0,0,0,MK699,11400,MK DIAMOND PRODU,MK699                         ,,,0,0,,       MK699,0,0,0,True,False,True,False,,,,,0,,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,2/24/2009 12:00 AM,,False,,,1,1,120,,,False,MK699,,0,0,,0,0,True,0,0,0,0,False,0,0,0,0,,False,0,,,,0,False,,,0,0,0,False,,,0,False,,,,,0,0,,0,0,False,0,0,0,False,0,0,0,False,0,False,0,,,,,0,0,0,0,0,0,0,,,
P245FL-1#01,"16ga ""L"" NAILER, FIXED BASE",,0,0,695,0,0,0,1/14/2017 12:00 AM,82,T,0,                         ,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,P245FL,17309,PRIMATECH,P245FL                        ,,,0,0,,,0,0,0,True,False,False,False,,,,2/9/2016 12:00 AM,519,,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,,,False,1240,,1,1,,,364002,False,P245FL-1,,0,0,,0,0,False,0,0,0,0,False,325,0,0,0,,False,0,P245FL,,,0,False,,,0,0,0,False,,,0,False,,,,,0,0,,0,0,False,0,0,0,False,0,0,0,False,0,False,0,,,,,0,0,0,0,0,0,0,,,
P245FL-1,"16ga ""L"" NAILER, FIXED BASE",,0,0,695,0,0,0,,82,V,0,                         ,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,P245FL,17307,PRIMATECH,P245FL                        ,,,0,0,,,0,0,0,True,False,False,False,,,,2/9/2016 12:00 AM,519,,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,,,False,1240,,1,1,,,,False,P245FL-1,,0,0,,0,0,True,0,0,0,0,False,325,0,0,0,,False,0,,,,0,False,,,0,0,0,True,,,0,False,,,,,0,0,,0,0,False,0,0,0,False,0,0,0,False,0,False,0,,,,,0,0,0,0,0,0,0,,,
SDP-015-02-1,"SDS PLUS BIT 5/32"" x 2"" x 4""",,1,0,9.95,0,10,0,11/30/2018 12:00 AM,48,T,0,                         ,,,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SDP-015-02,18728,,                              ,,,0,0,,     1532-03,0,0,0,True,False,True,False,0,10765,87954,,0,,0,0,0,0,0,,0,0,0,0,0,0,0,0,1,0,0,3,1/24/2017 12:00 AM,,False,,,1,1,,SDS+ BITS,,False,SDP-00,,0,0,,9.95,0,False,0,0,0,0,False,0,0,0,0,,False,0,,,,0,False,,,0,0,0,True,,,0,False,,,,,0,0,,0,0,False,0,0,0,False,0,0,0,False,0,False,0,,,,,0,0,0,0,0,0,0,,,
SDP-015-04-1,"SDS PLUS BIT 5/32"" x 4"" x 6""",,1,0,9.95,0,10,0,11/30/2018 12:00 AM,48,T,0,                         ,,,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SDP-015-04,18729,,                              ,,,0,0,,     1532-03,0,0,0,True,False,True,False,8795,11097,100763,8/23/2018 12:00 AM,4.33,,0,0,0,0,4.33,,0,0,0,0,0,0,0,0,3,0,0,381,10/25/2018 12:00 AM,,False,,,1,1,,SDS+ BITS,,False,SDP-00,,0,0,,9.95,0,False,0,0,0,0,False,0,0,0,0,,False,0,,,,0,False,,,0,0,0,True,,,0,False,,,,,0,0,,0,0,False,0,0,0,False,0,0,0,False,0,False,0,,,,,0,0,0,0,0,0,0,,,
SDP-018-02-1,"SDS PLUS BIT 3/16"" x 2"" x 4""",,3,0,9.95,0,10,0,11/30/2018 12:00 AM,48,T,0,                         ,,,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SDP-018-02,1865,,                              ,,,0,0,,     1532-03,0,0,0,True,False,True,False,9707,9884,86014,8/19/2016 12:00 AM,3.1,,0,0,0,0,3.1,,0,0,0,19.96,0,0,0,0,49,0,0,1348,10/18/2016 12:00 AM,,False,,,1,1,,SDS+ BITS,,False,SDP-00,,0,0,,9.95,0,False,0,0,0,0,False,0,0,0,0,,False,0,,,,0,False,,,0,0,0,True,,,0,False,,,,,0,0,,0,0,False,0,0,0,False,0,0,0,False,0,False,0,,,,,0,0,0,0,0,0,0,,,
SDP-018-04-1,"SDS PLUS BIT 3/16"" x 4"" x 6""",,1,0,0,0,10,0,11/30/2018 12:00 AM,48,T,0,                         ,,,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SDP-018-04,20238,,                              ,,,0,0,,     1532-03,0,0,0,True,False,True,False,,,,8/19/2016 12:00 AM,3.1,,0,0,0,0,3.1,,0,0,0,0,0,0,0,0,0,0,0,0,,,False,,,1,1,,SDS+ BITS,,False,SDP-00,,0,0,,0,0,False,0,0,0,0,False,0,0,0,0,,False,0,,,,0,False,,,0,0,0,True,,,0,False,,,,,0,0,,0,0,False,0,0,0,False,0,0,0,False,0,False,0,,,,,0,0,0,0,0,0,0,,,
SDP-025-04-1,"SDS PLUS BIT 1/4"" x 4"" x 6""",,1,0,25.95,0,10,0,11/30/2018 12:00 AM,48,T,0,                         ,,,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SDP-025-04,1866,,                              ,,,0,0,,     1532-04,0,0,0,True,False,True,False,9803,7092,84725,,0,,0,0,0,0,0,,0,0,0,22.97,0,0,0,0,27,0,0,1139,7/15/2016 12:00 AM,,False,,,1,1,,SDS+ BITS,,False,SDP-00,,0,0,,25.95,0,False,0,0,0,0,False,0,0,0,0,,False,0,,,,0,False,,,0,0,0,True,,,0,False,,,,,0,0,,0,0,False,0,0,0,False,0,0,0,False,0,False,0,,,,,0,0,0,0,0,0,0,,,
