KEY,NAME,LOC,QTY,QYOT,SELL,DEP,DMG,Msg,SDATE,Category,TYPE,TaxCode,INST,FUEL,ADDT,PER1,PER2,PER3,PER4,PER5,PER6,PER7,PER8,PER9,PER10,RATE1,RATE2,RATE3,RATE4,RATE5,RATE6,RATE7,RATE8,RATE9,RATE10,RCOD,SUBR,PartNumber,NUM,MANF,MODN,DSTN,DSTP,RMIN,RMAX,UserDefined1,UserDefined2,MTOT,MTIN,CALL,RESB,RESD,QUEB,QUED,SSN,CUSN,CNTR,PURD,PURP,DEPM,DEPR,SLVG,DEPA,DEPP,CURV,SOLD,SAMT,INC1,INC2,INC3,REPC1,REPC2,TMOT1,TMOT2,TMOT3,HROT1,HROT2,HROT3,LDATE,LOOKUP,Asset,GLAccount,DeprecAccount,HomeStore,CurrentStore,Group,Location,SerialNumber,Nontaxable,Header,License,CaseQty,ItemPercentage,ModelYear,RetailPrice,ExtraDepreciation,Inactive,ExtraCharges,PriceLevelA,PriceLevelB,PriceLevelC,NonDiscountable,VendorNumber1,VendorNumber2,VendorNumber3,QuantityOnOrder,Sort,NoPrintOnContract,MarkupPercentage,OrderNumber1,OrderNumber2,OrderNumber3,CleaningDelay,RequireCleaning,MaintenanceFile,WebLink,SubrentCostMTD,SubrentCostYTD,SubrentPending,HideOnWebsite,GPSUnitNo,LicenseExpire,ReplacementCost,RequireCreditCard,WarrantyDate,VehicleType,VehicleEIN,DescriptionLong,Weight,SetupTime,WebGroup,Department,GLIncome,BulkItem,GVWR,CriticalLevel,RentalCase,BoughtUsed,IncomeDmgWvr,IncomeItemPercent,QtyCountDifference,SuppressAvailCheck,FuelTankSize,NoTransfers,CommissionLevel,Barcode,Style1,Style2,Style3,DesiredROI,CubicSize,BulkSerializedMethod,Nonfulfillable,RateEngineId,BaseRate,RateEngineIdDisplayed,AccountingDepartmentId,AccountingClassId,ItemManufacturerId
2544#01,MM55 YARDBOSS,,0,0,0,0,10,0,4/8/2014 12:00 AM,91,T,0,                         ,,,4,24,168,672,0,0,0,0,0,0,36,42,126,378,0,0,0,0,0,0,2,0,2544-01,1354,STIHL,MM55                          ,,,0,0,,     2544-01,0,0,0,True,False,True,False,,,,5/5/2004 12:00 AM,151,,0,0,0,0,0,,0,0,0,2914.23,0,100.5,0,0,84,0,0,1782,10/8/2013 12:00 AM,,False,,,1,1,2544,,260315288,False,2544,,0,0,,0,0,False,0,0,0,0,False,0,0,0,0,,False,0,,,,0,False,,,0,0,0,False,,,0,False,,,,,0,0,,0,0,False,0,0,0,False,0,0,0,False,0,False,0,,,,,0,0,0,0,2,0,0,,,
2544#02,MM55 YARDBOSS,,0,0,0,0,10,0,4/8/2014 12:00 AM,91,T,0,                         ,,,4,24,168,672,0,0,0,0,0,0,36,42,126,378,0,0,0,0,0,0,2,0,2544-02,1934,STIHL,MM55                          ,,,0,0,,     2544-02,0,0,0,True,False,True,False,,,,4/11/2005 12:00 AM,329.97,,0,0,0,0,0,,0,0,0,2481.7,0,0,0,0,71,0,0,1479,5/21/2013 12:00 AM,,False,,,1,1,2544,,261885114,False,2544,,0,0,,0,0,False,0,0,0,0,False,0,0,0,0,,False,0,,,,0,False,,,0,0,0,False,,,0,False,,,,,0,0,,0,0,False,0,0,0,False,0,0,0,False,0,False,0,,,,,0,0,0,0,2,0,0,,,
2544#03,MM55 YARDBOSS,,0,0,0,0,10,0,4/8/2014 12:00 AM,91,T,0,                         ,,,4,24,168,672,0,0,0,0,0,0,36,42,126,378,0,0,0,0,0,0,2,0,2544-03,1217,STIHL,MM55                          ,,,0,0,,     2544-03,0,0,0,True,False,True,False,8526,3683,70223,3/16/2009 12:00 AM,0,,0,0,0,0,0,,0,0,0,1547,0,207.23,0,0,52,0,0,961,4/14/2014 12:00 AM,,False,,,1,1,2544,,277475892,False,2544,,0,0,,0,0,False,0,0,0,0,False,0,0,0,0,,False,0,,,,0,False,,,0,0,0,False,,,0,False,,,,,0,0,,0,0,False,0,0,0,False,0,0,0,False,0,False,0,,,,,0,0,0,0,2,0,0,,,
2544#04,MM55 YARDBOSS,,0,0,0,0,10,0,4/8/2014 12:00 AM,91,T,0,                         ,,,4,24,168,672,0,0,0,0,0,0,36,42,126,378,0,0,0,0,0,0,2,0,2544-04,1142,STIHL,MM55                          ,,,0,0,,     2544-04,0,0,0,True,False,True,False,,,,10/8/2013 12:00 AM,319.96,,0,0,0,0,0,4/10/2014 12:00 AM,300,0,0,0,0,34.2,0,0,0,0,0,0,4/10/2014 12:00 AM,,False,,,1,1,2544,,290912202,False,2544,,0,0,,0,0,False,0,0,0,0,False,0,0,0,0,,False,0,,,,0,False,,,0,0,0,False,,,0,False,,,,,0,0,,0,0,False,0,0,0,False,0,0,0,False,0,False,0,,,,,0,0,0,0,2,0,0,,,
2544#05,MM55 YARDBOSS,,0,0,449.95,0,10,0,1/5/2015 12:00 AM,91,T,0,                         ,,,4,24,168,672,0,0,0,0,0,0,36,42,126,378,0,0,0,0,0,0,2,0,2544-05,14528,,                              ,,,0,0,,        MM55,0,0,0,True,False,True,False,9411,9414,76930,1/24/2014 12:00 AM,319.96,,0,0,0,0,0,,0,0,0,515,0,5.04,0,0,29,0,0,696,5/16/2015 12:00 AM,,False,,,1,1,,,296273057,False,2544,,0,0,,449.95,0,False,0,0,0,0,False,0,0,0,0,,False,0,,,,0,False,,,0,0,0,False,,,0,False,,,,,0,0,,0,0,False,0,0,0,False,0,0,0,False,0,False,0,,,,,0,0,0,0,2,0,0,,,
2544#06,MM55 YARDBOSS,,0,0,0,0,10,0,1/17/2017 12:00 AM,91,T,0,                         ,,,4,24,168,672,0,0,0,0,0,0,36,42,126,378,0,0,0,0,0,0,2,0,2544-06,14529,STIHL,MM55                          ,,,0,0,,,0,0,1,True,False,True,False,1266,7472,83427,1/24/2014 12:00 AM,319.96,,0,0,0,0,0,,0,0,0,562,0,0,0,0,30,0,0,715,5/24/2016 12:00 AM,,False,,,1,1,,,296273062,False,2544,,0,0,,0,0,False,0,0,0,0,False,0,0,0,0,,False,0,,,,0,False,,,0,0,0,False,,,0,False,,,,,0,0,,0,0,False,0,0,0,False,0,0,0,False,0,False,0,,,,,0,0,0,0,2,0,0,,,
2544#07,MM55 YARDBOSS,,0,0,0,0,10,0,1/5/2015 12:00 AM,91,T,0,                         ,,,4,24,168,672,0,0,0,0,0,0,36,42,126,378,0,0,0,0,0,0,2,0,2544-07,14530,STIHL,MM55                          ,,,0,0,,     2544-01,0,0,1,True,False,True,False,9022,9022,79658,1/24/2014 12:00 AM,319.96,,0,0,0,0,0,9/16/2015 12:00 AM,300,0,0,212,0,0,0,0,19,0,0,308,9/16/2015 12:00 AM,,False,,,1,1,,,296273059,False,2544,,0,0,,0,0,False,0,0,0,0,False,0,0,0,0,,False,0,,,,0,False,,,0,0,0,False,,,0,False,,,,,0,0,,0,0,False,0,0,0,False,0,0,0,False,0,False,0,,,,,0,0,0,0,2,0,0,,,
2544#08,MM55 YARDBOSS,,0,0,0,0,10,0,11/20/2017 12:00 AM,91,T,0,                         ,,,4,24,168,672,0,0,0,0,0,0,36,42,126,378,0,0,0,0,0,0,2,0,2544-08,16011,STIHL,MM55                          ,,,0,0,,,0,0,0,True,False,True,False,11606,6237,95608,7/23/2014 12:00 AM,319.96,,0,0,0,0,0,4/9/2018 12:00 AM,400,0,0,337,0,72.62,0,0,32,0,0,534,4/9/2018 12:00 AM,,False,,,1,1,,,299714656,False,2544,,0,0,,0,0,False,0,0,0,0,False,0,0,0,0,,False,0,,,,0,False,,,0,0,0,False,,,0,False,,,,,0,0,,0,0,False,0,0,0,False,0,0,0,False,0,False,0,,,,,0,0,0,0,2,0,0,,,
2544#09,MM55 YARDBOSS,,0,0,0,0,10,0,11/20/2017 12:00 AM,91,T,0,                         ,,,4,24,168,672,0,0,0,0,0,0,36,42,126,378,0,0,0,0,0,0,2,0,2544-09,17397,STIHL,MM55                          ,,,0,0,,,0,0,0,True,False,True,False,7176,9533,96342,1/30/2016 12:00 AM,359.96,,0,0,0,0,0,5/7/2018 12:00 AM,450,0,0,42,0,200.47,0,0,31,0,0,515,5/7/2018 12:00 AM,,False,,,1,1,,,505305771,False,2544,,0,0,,0,0,False,0,0,0,0,False,0,0,0,0,,False,0,,,,0,False,,,0,0,0,False,,,0,False,,,,,0,0,,0,0,False,0,0,0,False,0,0,0,False,0,False,0,,,,,0,0,0,0,2,0,0,,,
2544#10,MM55 YARDBOSS,,0,0,0,0,10,0,11/20/2017 12:00 AM,91,T,0,                         ,,,4,24,168,672,672,0,0,0,0,0,36,42,126,378,456,0,0,0,0,0,2,0,2544-01,17518,STIHL,MM55                          ,,,0,0,,,0,0,0,True,False,True,False,7176,1362,96388,1/27/2015 12:00 AM,319.96,,0,0,0,0,0,5/8/2018 12:00 AM,0,0,0,41,0,206.77,0,0,29,0,0,373,5/8/2018 12:00 AM,,False,,,1,1,,,501201014,False,2544,,0,0,,0,0,False,0,0,0,0,False,0,0,0,0,,False,0,,,,0,False,,,0,0,0,False,,,0,False,,,,,0,0,,0,0,False,0,0,0,False,0,0,0,False,0,False,0,,,,,0,0,0,0,2,0,0,,,
